Minimum bout length 1 minutes,,,,,
Subject, Sleep period, Bout start time, Bout duration, Censored, Next state
14A6HX,1,6886.933,15.5,0, NREM
14A6HX,1,6887.267,5.5,0, NREM
14A6HX,1,6887.375,3,0, NREM
14A6HX,1,6888.542,11.5,0, Wake
14A6HX,1,6889.725,25.5,0, NREM
14A6HX,1,6891.325,2.5,0, NREM
14A6HX,1,6891.392,4,0, Wake
14A6HX,1,6891.708,6.5,0, Wake
14A6HX,1,6891.883,4,0, Wake
14A6HX,2,6910.792,8,0, Wake
14A6HX,2,6910.983,13.5,0, NREM
14A6HX,2,6911.267,4.5,0, Wake
14A6HX,2,6912.625,6,1,0
14A6HX,2,6912.817,2,0, NREM
14A6HX,2,6912.867,8.5,0, Wake
14A6HX,2,6914.425,24,0, Wake
14A6HX,2,6914.858,14,0, Wake
14A6HX,2,6916.392,9,0, NREM
14A6HX,2,6916.558,4,0, Wake
14A6HX,2,6916.642,2.5,0, Wake
14A6HX,2,6917.008,2,0, NREM
14A6HX,3,6934.8,24.5,0, NREM
14A6HX,3,6936.425,6.5,0, Wake
